p_pid     p_name		p_vrt	      p_sum_exe_rt 		  n_pid     n_name  	 n_vrt  	 n_sum_exe_rt|	prev_tslice next_tslice  CPU
     0 , swapper/3,               0,               0,  10784 ,      bash,      1737532338,        3505048, | ,          0 ,         0 
 11085 ,    insmod,      2016745072,         2499225,   8960 ,kworker/0:2,    744567470999,      114114264, | ,          0 ,         0 
  8960 ,kworker/0:2,               0,               0,  11086 ,systemd-udevd,      1735653586,              0, | ,          0 ,         0 
   203 ,systemd-udevd,      1265110961,      1054549454,   1186 ,     gmain,    693885596631,      908526817, | ,          0 ,         0 
  1186 ,     gmain,    693886667062,       909597248,      0 , swapper/2,               0,              0, | ,          0 ,         0 
 10784 ,      bash,      1739136591,         5109301,  11087 ,      bash,      1754820958,              0, | ,          0 ,         0 
     0 , swapper/2,               0,               0,    203 ,systemd-udevd,      1265110961,     1054549454, | ,          0 ,         0 
 11086 ,systemd-udevd,      1737174447,         1520861,      0 , swapper/1,               0,              0, | ,    1520861 ,         0 
   203 ,systemd-udevd,      1265179082,      1054617575,      0 , swapper/2,               0,              0, | ,      68121 ,         0 
     0 , swapper/0,               0,               0,    867 , in:imklog,       641424230,     1321532008, | ,          0 ,1321532008 
     0 , swapper/1,               0,               0,   1227 ,     gmain,     76055908269,      184642203, | ,          0 , 184642203 
     0 , swapper/2,               0,               0,    199 ,systemd-journal,      1473286735,     6049219613, | ,          0 ,6049219613 
  1227 ,     gmain,     76056087914,       184821848,    868 ,rs:main Q:Reg,       593564790,     1351961833, | ,  184821848 ,1351961833 
   867 , in:imklog,       641651017,      1321758795,      0 , swapper/0,               0,              0, | , 1321758795 ,         0 
     0 , swapper/0,               0,               0,    867 , in:imklog,       641651017,     1321758795, | ,          0 ,    226787 
   867 , in:imklog,       641862221,      1321969999,    582 ,     gmain,       170482517,      337930356, | ,     211204 , 337930356 
   582 ,     gmain,       170549059,       337996898,      0 , swapper/0,               0,              0, | ,  337996898 ,         0 
   868 ,rs:main Q:Reg,       594012939,      1352409982,      0 , swapper/1,               0,              0, | , 1352409982 ,         0 
     0 , swapper/1,               0,               0,   1227 ,     gmain,     76056087914,      184821848, | ,          0 ,    179645 
 11087 ,       gcc,      1757886376,         3065418,      0 , swapper/3,               0,              0, | ,    3065418 ,         0 
  1227 ,     gmain,     76056190364,       184924298,      0 , swapper/1,               0,              0, | ,     102450 ,         0 
