p_pid     p_name		p_vrt	      p_sum_exe_rt 		  n_pid     n_name  	 n_vrt  	 n_sum_exe_rt|	prev_tslice next_tslice  CPU
 10653 ,    insmod,      6759794513,          871344,  10337 ,      bash,      6750794513,        4507685, | ,          0 ,         0 
     0 , swapper/3,               0,               0,    197 ,systemd-journal,      5980163545,    29534100414, | ,          0 ,         0 
   204 ,systemd-udevd,       403110956,       784430807,  10654 ,systemd-udevd,       411948462,              0, | ,          0 ,         0 
 10337 ,      bash,      6752362355,         6075527,    793 , in:imklog,      4293416515,     9496036469, | ,          0 ,         0 
   197 ,systemd-journal,      5980682973,     29534619842,      1 ,   systemd,       387092186,     4243747755, | ,          0 ,         0 
   793 , in:imklog,      4293940227,      9496560181,  10337 ,      bash,      6752362355,        6075527, | ,          0 ,   1567842 
     1 ,   systemd,       387239046,      4243894615,   1129 ,     gmain,    706069528632,       33443075, | ,          0 ,  33443075 
  1129 ,     gmain,    706069573923,        33488366,    794 ,rs:main Q:Reg,      5972759310,     8760051355, | ,          0 ,8760051355 
 10337 ,      bash,      6752657727,         6370899,    539 ,     gmain,       415657983,     1608789814, | ,     295372 ,1608789814 
   794 ,rs:main Q:Reg,      5972894977,      8760187022,      7 , rcu_sched,    283576511889,     1422250734, | , 8760187022 ,1422250734 
   539 ,     gmain,       415689354,      1608821185,  10337 ,      bash,      6752657727,        6370899, | , 1608821185 ,    295372 
     7 , rcu_sched,    283576525754,      1422264599,  10655 ,      bash,      6180461593,              0, | , 1422264599 ,         0 
 10654 ,systemd-udevd,       414032123,         2083661,    204 ,systemd-udevd,       405032123,      784430807, | ,    2083661 , 784430807 
   204 ,systemd-udevd,       405068280,       784466964,  10654 ,systemd-udevd,       414032123,        2083661, | ,      36157 ,   2083661 
 10654 ,systemd-udevd,       414038003,         2089541,      0 , swapper/0,               0,              0, | ,       5880 ,         0 
     0 , swapper/0,               0,               0,  10656 ,      bash,      5863103924,              0, | ,          0 ,         0 
 10655 ,      bash,      6180613361,          151768,     27 ,migration/3,               0,       23465226, | ,     151768 ,  23465226 
    27 ,migration/3,               0,        23478662,  10655 ,      bash,      6180613361,         151768, | ,   23478662 ,    151768 
 10337 ,      bash,      6752876417,         6589589,      0 , swapper/1,               0,              0, | ,     218690 ,         0 
 10656 ,      bash,      5863187414,           83490,      9 ,migration/0,               0,       25113134, | ,      83490 ,  25113134 
     0 , swapper/1,               0,               0,  10656 ,      bash,      6759794513,          83490, | ,          0 ,     83490 
     9 ,migration/0,               0,        25117801,      0 , swapper/0,               0,              0, | ,   25117801 ,         0 
     0 , swapper/0,               0,               0,    793 , in:imklog,      3369132517,     9496560181, | ,          0 ,    523712 
   793 , in:imklog,      3369268365,      9496696029,    197 ,systemd-journal,      8854838493,    29534619842, | ,     135848 ,    519428 
 10656 ,     sleep,      6760267365,          556342,      0 , swapper/1,               0,              0, | ,     472852 ,         0 
