prev_pid,prev_name,prev_vruntime,prev_sum_exec_runtime,next_pid,next_name,next_vruntime,next_sum_exec_runtime
10653,insmod,6759794513,871344,10337,bash,6750794513,4507685

0,swapper/3,0,0,197,systemd-journal,5980163545,29534100414

204,systemd-udevd,403110956,784430807,10654,systemd-udevd,411948462,0

10337,bash,6752362355,6075527,793,in:imklog,4293416515,9496036469

197,systemd-journal,5980682973,29534619842,1,systemd,387092186,4243747755

793,in:imklog,4293940227,9496560181,10337,bash,6752362355,6075527

1,systemd,387239046,4243894615,1129,gmain,706069528632,33443075

1129,gmain,706069573923,33488366,794,rs:main Q:Reg,5972759310,8760051355

10337,bash,6752657727,6370899,539,gmain,415657983,1608789814

794,rs:main Q:Reg,5972894977,8760187022,7,rcu_sched,283576511889,1422250734

539,gmain,415689354,1608821185,10337,bash,6752657727,6370899

7,rcu_sched,283576525754,1422264599,10655,bash,6180461593,0

10654,systemd-udevd,414032123,2083661,204,systemd-udevd,405032123,784430807

204,systemd-udevd,405068280,784466964,10654,systemd-udevd,414032123,2083661

10654,systemd-udevd,414038003,2089541,0,swapper/0,0,0

0,swapper/0,0,0,10656,bash,5863103924,0

10655,bash,6180613361,151768,27,migration/3,0,23465226

27,migration/3,0,23478662,10655,bash,6180613361,151768

10337,bash,6752876417,6589589,0,swapper/1,0,0

10656,bash,5863187414,83490,9,migration/0,0,25113134

0,swapper/1,0,0,10656,bash,6759794513,83490

9,migration/0,0,25117801,0,swapper/0,0,0

0,swapper/0,0,0,793,in:imklog,3369132517,9496560181

793,in:imklog,3369268365,9496696029,197,systemd-journal,8854838493,29534619842

10656,sleep,6760267365,556342,0,swapper/1,0,0

197,systemd-journal,8855364081,29535145430,0,swapper/0,0,0

0,swapper/1,0,0,10657,spy,6762100431,0

10657,spy,6762123026,22595,15,migration/1,0,23386432

15,migration/1,0,23391750,10658,spy,6763949523,0

10658,spy,6763953268,3745,15,migration/1,0,23391750

15,migration/1,0,23393529,10659,spy,6765784733,0

10659,spy,6765788062,3329,15,migration/1,0,23393529

15,migration/1,0,23401506,794,rs:main Q:Reg,4293940227,8760187022

0,swapper/0,0,0,10661,spy,5872187408,0

10661,spy,5872196012,8604,9,migration/0,0,25117801

9,migration/0,0,25122156,0,swapper/0,0,0

0,swapper/0,0,0,10663,spy,5881196006,0

10663,spy,5881202102,6096,9,migration/0,0,25122156

9,migration/0,0,25124945,0,swapper/0,0,0

0,swapper/0,0,0,10664,spy,5890202096,0

10664,spy,5890207885,5789,9,migration/0,0,25124945

9,migration/0,0,25127679,0,swapper/0,0,0

0,swapper/0,0,0,10665,spy,5899207879,0

10665,spy,5899213608,5729,9,migration/0,0,25127679

9,migration/0,0,25130014,0,swapper/0,0,0

0,swapper/0,0,0,10666,spy,5908213602,0

10666,spy,5908219864,6262,9,migration/0,0,25130014

9,migration/0,0,25132815,0,swapper/0,0,0

0,swapper/0,0,0,10667,spy,5917219858,0

10667,spy,5917225715,5857,9,migration/0,0,25132815

9,migration/0,0,25135100,0,swapper/0,0,0

0,swapper/0,0,0,10668,spy,5926225709,0

10668,spy,5926231727,6018,9,migration/0,0,25135100

9,migration/0,0,25137805,0,swapper/0,0,0

0,swapper/0,0,0,10669,spy,5935231721,0

10669,spy,5935237193,5472,9,migration/0,0,25137805

9,migration/0,0,25140717,0,swapper/0,0,0

0,swapper/0,0,0,10670,spy,5944237187,0

10670,spy,5944242897,5710,9,migration/0,0,25140717

9,migration/0,0,25143568,0,swapper/0,0,0

0,swapper/0,0,0,10671,spy,5953242891,0

10671,spy,5953247864,4973,9,migration/0,0,25143568

794,rs:main Q:Reg,4294082964,8760329759,10660,spy,6767621128,0

9,migration/0,0,25146217,0,swapper/0,0,0

10660,spy,6767627110,5982,15,migration/1,0,23401506

15,migration/1,0,23404734,10662,spy,6774788056,0

10662,spy,6774791500,3444,15,migration/1,0,23404734

15,migration/1,0,23406249,10672,spy,6776627104,0

10672,spy,6776629792,2688,15,migration/1,0,23406249

15,migration/1,0,23409082,10673,spy,6785629786,0

10673,spy,6785633390,3604,15,migration/1,0,23409082

15,migration/1,0,23410611,0,swapper/1,0,0

0,swapper/1,0,0,10674,spy,6794633384,0

10674,spy,6794638249,4865,15,migration/1,0,23410611

15,migration/1,0,23412386,0,swapper/1,0,0

0,swapper/1,0,0,10675,spy,6803638243,0

10675,spy,6803642809,4566,15,migration/1,0,23412386

15,migration/1,0,23414044,0,swapper/1,0,0

0,swapper/1,0,0,10676,spy,6812642803,0

10676,spy,6812646724,3921,15,migration/1,0,23414044

15,migration/1,0,23415730,0,swapper/1,0,0

0,swapper/1,0,0,10677,spy,6821646718,0

10677,spy,6821650869,4151,15,migration/1,0,23415730

15,migration/1,0,23417319,0,swapper/1,0,0

0,swapper/1,0,0,10678,spy,6830650863,0

10678,spy,6830654525,3662,15,migration/1,0,23417319

15,migration/1,0,23418800,0,swapper/1,0,0

0,swapper/1,0,0,10679,spy,6839654519,0

10679,spy,6839658134,3615,15,migration/1,0,23418800

15,migration/1,0,23420261,0,swapper/1,0,0

0,swapper/1,0,0,10680,spy,6848658128,0

10680,spy,6848661801,3673,15,migration/1,0,23420261

15,migration/1,0,23421985,0,swapper/1,0,0

0,swapper/1,0,0,10681,spy,6857661795,0

10681,spy,6857665227,3432,15,migration/1,0,23421985

15,migration/1,0,23423427,0,swapper/1,0,0

0,swapper/1,0,0,10682,spy,6866665221,0

10682,spy,6866668886,3665,15,migration/1,0,23423427

15,migration/1,0,23424888,0,swapper/1,0,0

0,swapper/1,0,0,10683,spy,6875668880,0

10683,spy,6875672388,3508,15,migration/1,0,23424888

15,migration/1,0,23426221,0,swapper/1,0,0

0,swapper/1,0,0,10684,spy,6884672382,0

10684,spy,6884675945,3563,15,migration/1,0,23426221

15,migration/1,0,23427571,0,swapper/1,0,0

0,swapper/1,0,0,10685,spy,6893675939,0

10685,spy,6893679570,3631,15,migration/1,0,23427571

15,migration/1,0,23428906,0,swapper/1,0,0

0,swapper/1,0,0,10686,spy,6902679564,0

10686,spy,6902683187,3623,15,migration/1,0,23428906

15,migration/1,0,23430319,0,swapper/1,0,0

0,swapper/1,0,0,10687,spy,6911683181,0

10687,spy,6911686861,3680,15,migration/1,0,23430319

15,migration/1,0,23431740,0,swapper/1,0,0

0,swapper/1,0,0,10688,spy,6920686855,0

10688,spy,6920690336,3481,15,migration/1,0,23431740

15,migration/1,0,23433100,0,swapper/1,0,0

0,swapper/1,0,0,10689,spy,6929690330,0

10689,spy,6929693943,3613,15,migration/1,0,23433100

15,migration/1,0,23434428,0,swapper/1,0,0

0,swapper/1,0,0,10690,spy,6938693937,0

10690,spy,6938697532,3595,15,migration/1,0,23434428

15,migration/1,0,23435828,0,swapper/1,0,0

0,swapper/1,0,0,10691,spy,6947697526,0

10691,spy,6947701105,3579,15,migration/1,0,23435828

15,migration/1,0,23437167,0,swapper/1,0,0

0,swapper/1,0,0,10692,spy,6956701099,0

10692,spy,6956705077,3978,15,migration/1,0,23437167

15,migration/1,0,23438491,0,swapper/1,0,0

0,swapper/1,0,0,10693,spy,6965705071,0

10693,spy,6965708745,3674,15,migration/1,0,23438491

15,migration/1,0,23439797,0,swapper/1,0,0

0,swapper/1,0,0,10694,spy,6974708739,0

10694,spy,6974712571,3832,15,migration/1,0,23439797

15,migration/1,0,23441395,0,swapper/1,0,0

0,swapper/1,0,0,10695,spy,6983712565,0

10695,spy,6983716352,3787,15,migration/1,0,23441395

15,migration/1,0,23442941,0,swapper/1,0,0

0,swapper/1,0,0,10696,spy,6992716346,0

10696,spy,6992719826,3480,15,migration/1,0,23442941

15,migration/1,0,23444274,0,swapper/1,0,0

0,swapper/1,0,0,10697,spy,7001719820,0

10697,spy,7001723333,3513,15,migration/1,0,23444274

15,migration/1,0,23445611,0,swapper/1,0,0

0,swapper/1,0,0,10698,spy,7010723327,0

10698,spy,7010726818,3491,15,migration/1,0,23445611

15,migration/1,0,23447003,0,swapper/1,0,0

0,swapper/1,0,0,10699,spy,7019726812,0

10699,spy,7019730618,3806,15,migration/1,0,23447003

15,migration/1,0,23448418,0,swapper/1,0,0

0,swapper/1,0,0,10700,spy,7028730612,0

10700,spy,7028734137,3525,15,migration/1,0,23448418

15,migration/1,0,23449801,0,swapper/1,0,0

0,swapper/1,0,0,10701,spy,7037734131,0

10701,spy,7037737850,3719,15,migration/1,0,23449801

15,migration/1,0,23451273,0,swapper/1,0,0

0,swapper/1,0,0,10702,spy,7046737844,0

10702,spy,7046741401,3557,15,migration/1,0,23451273

15,migration/1,0,23452707,0,swapper/1,0,0

0,swapper/1,0,0,10703,spy,7055741395,0

10703,spy,7055746370,4975,15,migration/1,0,23452707

15,migration/1,0,23454146,0,swapper/1,0,0

0,swapper/1,0,0,10704,spy,7064746364,0

10704,spy,7064750135,3771,15,migration/1,0,23454146

15,migration/1,0,23455533,0,swapper/1,0,0

0,swapper/1,0,0,10705,spy,7073750129,0

10705,spy,7073753802,3673,15,migration/1,0,23455533

15,migration/1,0,23457065,0,swapper/1,0,0

0,swapper/1,0,0,10706,spy,7082753796,0

10706,spy,7082757496,3700,15,migration/1,0,23457065

15,migration/1,0,23458387,0,swapper/1,0,0

0,swapper/1,0,0,10707,spy,7091757490,0

10707,spy,7091761020,3530,15,migration/1,0,23458387

15,migration/1,0,23459757,0,swapper/1,0,0

0,swapper/1,0,0,10708,spy,7100761014,0

10708,spy,7100764804,3790,15,migration/1,0,23459757

15,migration/1,0,23461239,0,swapper/1,0,0

0,swapper/1,0,0,10709,spy,7109764798,0

10709,spy,7109768563,3765,15,migration/1,0,23461239

15,migration/1,0,23462669,0,swapper/1,0,0

0,swapper/1,0,0,10710,spy,7118768557,0

10710,spy,7118772978,4421,15,migration/1,0,23462669

15,migration/1,0,23464069,0,swapper/1,0,0

0,swapper/1,0,0,10711,spy,7127772972,0

10711,spy,7127776331,3359,15,migration/1,0,23464069

15,migration/1,0,23465457,0,swapper/1,0,0

0,swapper/1,0,0,10712,spy,7136776325,0

10712,spy,7136780088,3763,15,migration/1,0,23465457

15,migration/1,0,23466930,0,swapper/1,0,0

0,swapper/1,0,0,10713,spy,7145780082,0

10713,spy,7145783671,3589,15,migration/1,0,23466930

15,migration/1,0,23468287,0,swapper/1,0,0

0,swapper/1,0,0,10714,spy,7154783665,0

10714,spy,7154787172,3507,15,migration/1,0,23468287

15,migration/1,0,23469700,0,swapper/1,0,0

0,swapper/1,0,0,10715,spy,7163787166,0

10715,spy,7163790798,3632,15,migration/1,0,23469700

15,migration/1,0,23471380,0,swapper/1,0,0

0,swapper/1,0,0,10716,spy,7172790792,0

10716,spy,7172794447,3655,15,migration/1,0,23471380

15,migration/1,0,23472748,0,swapper/1,0,0

0,swapper/1,0,0,10717,spy,7181794441,0

10717,spy,7181798011,3570,15,migration/1,0,23472748

15,migration/1,0,23474112,0,swapper/1,0,0

0,swapper/1,0,0,10718,spy,7190798005,0

10718,spy,7190801642,3637,15,migration/1,0,23474112

15,migration/1,0,23475499,0,swapper/1,0,0

0,swapper/1,0,0,10719,spy,7199801636,0

10719,spy,7199806210,4574,15,migration/1,0,23475499

15,migration/1,0,23477008,0,swapper/1,0,0

0,swapper/1,0,0,10720,spy,7208806204,0

10720,spy,7208809940,3736,15,migration/1,0,23477008

15,migration/1,0,23478338,0,swapper/1,0,0

0,swapper/1,0,0,10721,spy,7217809934,0

10721,spy,7217813398,3464,15,migration/1,0,23478338

15,migration/1,0,23479661,0,swapper/1,0,0

0,swapper/1,0,0,10722,spy,7226813392,0

10722,spy,7226816852,3460,15,migration/1,0,23479661

15,migration/1,0,23481340,0,swapper/1,0,0

0,swapper/1,0,0,10723,spy,7235816846,0

10723,spy,7235820395,3549,15,migration/1,0,23481340

15,migration/1,0,23482714,0,swapper/1,0,0

0,swapper/1,0,0,10724,spy,7244820389,0

10724,spy,7244824073,3684,15,migration/1,0,23482714

15,migration/1,0,23484160,0,swapper/1,0,0

0,swapper/1,0,0,10725,spy,7253824067,0

10725,spy,7253827655,3588,15,migration/1,0,23484160

15,migration/1,0,23485454,0,swapper/1,0,0

0,swapper/1,0,0,10726,spy,7262827649,0

10726,spy,7262831171,3522,15,migration/1,0,23485454

15,migration/1,0,23487451,0,swapper/1,0,0

0,swapper/1,0,0,10727,spy,7271831165,0

10727,spy,7271834752,3587,15,migration/1,0,23487451

15,migration/1,0,23489175,0,swapper/1,0,0

0,swapper/1,0,0,10728,spy,7280834746,0

10728,spy,7280838394,3648,15,migration/1,0,23489175

15,migration/1,0,23491632,0,swapper/1,0,0

0,swapper/1,0,0,10729,spy,7289838388,0

10729,spy,7289842068,3680,15,migration/1,0,23491632

15,migration/1,0,23492956,0,swapper/1,0,0

0,swapper/1,0,0,10730,spy,7298842062,0

10730,spy,7298845895,3833,15,migration/1,0,23492956

15,migration/1,0,23494389,0,swapper/1,0,0

0,swapper/1,0,0,10731,spy,7307845889,0

10731,spy,7307849550,3661,15,migration/1,0,23494389

15,migration/1,0,23495755,0,swapper/1,0,0

0,swapper/1,0,0,10732,spy,7316849544,0

10732,spy,7316853222,3678,15,migration/1,0,23495755

15,migration/1,0,23497365,0,swapper/1,0,0

0,swapper/1,0,0,10733,spy,7325853216,0

10733,spy,7325857081,3865,15,migration/1,0,23497365

15,migration/1,0,23499068,0,swapper/1,0,0

0,swapper/1,0,0,10734,spy,7334857075,0

10734,spy,7334860686,3611,15,migration/1,0,23499068

15,migration/1,0,23500623,0,swapper/1,0,0

0,swapper/1,0,0,10735,spy,7343860680,0

10735,spy,7343865087,4407,15,migration/1,0,23500623

15,migration/1,0,23502095,0,swapper/1,0,0

0,swapper/1,0,0,10736,spy,7352865081,0

10736,spy,7352868910,3829,15,migration/1,0,23502095

15,migration/1,0,23503679,0,swapper/1,0,0

0,swapper/1,0,0,10737,spy,7361868904,0

10737,spy,7361872466,3562,15,migration/1,0,23503679

15,migration/1,0,23505425,0,swapper/1,0,0

0,swapper/1,0,0,10738,spy,7370872460,0

10738,spy,7370876150,3690,15,migration/1,0,23505425

15,migration/1,0,23507254,0,swapper/1,0,0

0,swapper/1,0,0,10739,spy,7379876144,0

10739,spy,7379879827,3683,15,migration/1,0,23507254

15,migration/1,0,23508700,0,swapper/1,0,0

0,swapper/1,0,0,10740,spy,7388879821,0

10740,spy,7388884100,4279,15,migration/1,0,23508700

15,migration/1,0,23510232,0,swapper/1,0,0

0,swapper/1,0,0,10741,spy,7397884094,0

10741,spy,7397887542,3448,15,migration/1,0,23510232

15,migration/1,0,23511910,0,swapper/1,0,0

0,swapper/1,0,0,10742,spy,7406887536,0

10742,spy,7406891293,3757,15,migration/1,0,23511910

15,migration/1,0,23513393,0,swapper/1,0,0

0,swapper/1,0,0,10743,spy,7415891287,0

10743,spy,7415895088,3801,15,migration/1,0,23513393

15,migration/1,0,23514794,0,swapper/1,0,0

0,swapper/1,0,0,10744,spy,7424895082,0

10744,spy,7424898641,3559,15,migration/1,0,23514794

15,migration/1,0,23516343,0,swapper/1,0,0

0,swapper/1,0,0,10745,spy,7433898635,0

10745,spy,7433902407,3772,15,migration/1,0,23516343

15,migration/1,0,23517682,0,swapper/1,0,0

0,swapper/1,0,0,10746,spy,7442902401,0

10746,spy,7442906146,3745,15,migration/1,0,23517682

15,migration/1,0,23519309,0,swapper/1,0,0

0,swapper/1,0,0,10747,spy,7451906140,0

10747,spy,7451909869,3729,15,migration/1,0,23519309

10648,ecdsa,6393135853,1006000580,10657,spy,6392005792,22595

0,swapper/0,0,0,793,in:imklog,3369268365,9496696029

15,migration/1,0,23539845,197,systemd-journal,8332683285,29535145430

10657,spy,6392019252,36055,10658,spy,6392005792,3745

10658,spy,6392020916,18869,10659,spy,6392005792,3329

10659,spy,6392012100,9637,10661,spy,6392005792,8604

10655,spy,6182743301,2281708,0,swapper/3,0,0

10661,spy,6392012090,14902,10663,spy,6392005792,6096

10663,spy,6392013648,13952,10664,spy,6392005792,5789

10664,spy,6392011420,11417,10665,spy,6392005792,5729

10665,spy,6392009822,9759,10666,spy,6392005792,6262

10666,spy,6392010099,10569,10667,spy,6392005792,5857

10667,spy,6392011233,11298,10668,spy,6392005792,6018

10668,spy,6392010018,10244,10669,spy,6392005792,5472

10669,spy,6392009382,9062,10670,spy,6392005792,5710

10670,spy,6392013185,13103,10671,spy,6392005792,4973

10671,spy,6392010407,9588,10660,spy,6392005792,5982

10660,spy,6392010859,11049,10662,spy,6392005792,3444

10662,spy,6392009974,7626,10672,spy,6392005792,2688

10672,spy,6392010663,7559,10673,spy,6392005792,3604

10673,spy,6392013277,11089,10674,spy,6392005792,4865

10674,spy,6392010693,9766,10675,spy,6392005792,4566

10675,spy,6392010305,9079,10676,spy,6392005792,3921

10676,spy,6392011105,9234,10677,spy,6392005792,4151

10677,spy,6392009798,8157,10678,spy,6392005792,3662

10678,spy,6392010745,8615,10679,spy,6392005792,3615

10679,spy,6392011664,9487,10680,spy,6392005792,3673

10680,spy,6392010929,8810,10681,spy,6392005792,3432

10681,spy,6392010186,7826,10682,spy,6392005792,3665

10682,spy,6392010501,8374,10683,spy,6392005792,3508

10683,spy,6392011407,9123,10684,spy,6392005792,3563

10684,spy,6392010923,8694,10685,spy,6392005792,3631

10685,spy,6392010063,7902,10686,spy,6392005792,3623

10686,spy,6392010729,8560,10687,spy,6392005792,3680

