prev_pid,prev_name,prev_vruntime,prev_sum_exec_runtime,next_pid,next_name,next_vruntime,next_sum_exec_runtime
0,swapper/3,0,0,10784,bash,1737532338,3505048

11085,insmod,2016745072,2499225,8960,kworker/0:2,744567470999,114114264

8960,kworker/0:2,0,0,11086,systemd-udevd,1735653586,0

203,systemd-udevd,1265110961,1054549454,1186,gmain,693885596631,908526817

1186,gmain,693886667062,909597248,0,swapper/2,0,0

10784,bash,1739136591,5109301,11087,bash,1754820958,0

0,swapper/2,0,0,203,systemd-udevd,1265110961,1054549454

11086,systemd-udevd,1737174447,1520861,0,swapper/1,0,0

203,systemd-udevd,1265179082,1054617575,0,swapper/2,0,0

0,swapper/0,0,0,867,in:imklog,641424230,1321532008

0,swapper/1,0,0,1227,gmain,76055908269,184642203

0,swapper/2,0,0,199,systemd-journal,1473286735,6049219613

1227,gmain,76056087914,184821848,868,rs:main Q:Reg,593564790,1351961833

867,in:imklog,641651017,1321758795,0,swapper/0,0,0

0,swapper/0,0,0,867,in:imklog,641651017,1321758795

867,in:imklog,641862221,1321969999,582,gmain,170482517,337930356

582,gmain,170549059,337996898,0,swapper/0,0,0

868,rs:main Q:Reg,594012939,1352409982,0,swapper/1,0,0

0,swapper/1,0,0,1227,gmain,76056087914,184821848

11087,gcc,1757886376,3065418,0,swapper/3,0,0

1227,gmain,76056190364,184924298,0,swapper/1,0,0

11088,gcc,2025808114,63048,9,migration/0,0,35726691

0,swapper/3,0,0,11088,gcc,1757886376,63048

9,migration/0,0,35743104,0,swapper/0,0,0

0,swapper/0,0,0,11087,gcc,2025808114,3065418

11087,gcc,2025891744,3149048,0,swapper/0,0,0

199,systemd-journal,1476313833,6052246711,0,swapper/2,0,0

0,swapper/2,0,0,199,systemd-journal,1476313833,6052246711

0,swapper/0,0,0,867,in:imklog,641862221,1321969999

0,swapper/1,0,0,868,rs:main Q:Reg,594012939,1352409982

867,in:imklog,642096752,1322204530,7,rcu_sched,744593932696,9976883740

7,rcu_sched,744593950125,9976901169,867,in:imklog,642096752,1322204530

867,in:imklog,642196995,1322304773,0,swapper/0,0,0

0,swapper/0,0,0,867,in:imklog,642196995,1322304773

867,in:imklog,642283697,1322391475,0,swapper/0,0,0

0,swapper/0,0,0,867,in:imklog,642283697,1322391475

867,in:imklog,642346565,1322454343,0,swapper/0,0,0

0,swapper/0,0,0,867,in:imklog,642346565,1322454343

867,in:imklog,642438230,1322546008,0,swapper/0,0,0

0,swapper/0,0,0,867,in:imklog,642438230,1322546008

867,in:imklog,642511440,1322619218,0,swapper/0,0,0

0,swapper/0,0,0,867,in:imklog,642511440,1322619218

867,in:imklog,642570607,1322678385,0,swapper/0,0,0

868,rs:main Q:Reg,594758823,1353155866,0,swapper/1,0,0

199,systemd-journal,1478082146,6054015024,0,swapper/2,0,0

0,swapper/2,0,0,1186,gmain,693886667062,909597248

1186,gmain,693886805735,909735921,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,636198112,1322678385

0,swapper/0,0,0,199,systemd-journal,2236858269,6054015024

0,swapper/1,0,0,868,rs:main Q:Reg,594758823,1353155866

867,in:imklog,636311871,1322792144,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,636311871,1322792144

867,in:imklog,636440895,1322921168,0,swapper/2,0,0

868,rs:main Q:Reg,595086926,1353483969,0,swapper/1,0,0

199,systemd-journal,2237651945,6054808700,0,swapper/0,0,0

0,swapper/0,0,0,582,gmain,170549059,337996898

582,gmain,170645426,338093265,0,swapper/0,0,0

0,swapper/1,0,0,1227,gmain,76056190364,184924298

1227,gmain,76056296038,185029972,0,swapper/1,0,0

0,swapper/2,0,0,867,in:imklog,636440895,1322921168

0,swapper/0,0,0,199,systemd-journal,2237651945,6054808700

0,swapper/1,0,0,7,rcu_sched,1263758659174,9976901169

7,rcu_sched,1263758711334,9976953329,0,swapper/1,0,0

0,swapper/1,0,0,868,rs:main Q:Reg,595086926,1353483969

867,in:imklog,636606485,1323086758,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,636606485,1323086758

867,in:imklog,636662403,1323142676,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,636662403,1323142676

867,in:imklog,636707354,1323187627,0,swapper/2,0,0

868,rs:main Q:Reg,595314167,1353711210,0,swapper/1,0,0

199,systemd-journal,2238331250,6055488005,0,swapper/0,0,0

0,swapper/2,0,0,867,in:imklog,636707354,1323187627

0,swapper/0,0,0,8960,kworker/0:2,744594120396,115286182

8960,kworker/0:2,744594166552,115332338,199,systemd-journal,2238331250,6055488005

0,swapper/1,0,0,868,rs:main Q:Reg,595314167,1353711210

867,in:imklog,636860876,1323341149,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,636860876,1323341149

867,in:imklog,636900962,1323381235,0,swapper/2,0,0

868,rs:main Q:Reg,595510928,1353907971,0,swapper/1,0,0

199,systemd-journal,2238735501,6055892256,0,swapper/0,0,0

0,swapper/1,0,0,1227,gmain,76056296038,185029972

1227,gmain,76056400928,185134862,0,swapper/1,0,0

0,swapper/2,0,0,867,in:imklog,636900962,1323381235

0,swapper/1,0,0,7,rcu_sched,1263758711334,9976953329

0,swapper/0,0,0,199,systemd-journal,2238735501,6055892256

7,rcu_sched,1263758746336,9976988331,0,swapper/1,0,0

0,swapper/1,0,0,868,rs:main Q:Reg,595510928,1353907971

867,in:imklog,637062712,1323542985,0,swapper/2,0,0

0,swapper/2,0,0,867,in:imklog,637062712,1323542985

867,in:imklog,637103319,1323583592,0,swapper/2,0,0

868,rs:main Q:Reg,595689392,1354086435,0,swapper/1,0,0

199,systemd-journal,2239279162,6056435917,0,swapper/0,0,0

0,swapper/0,0,0,582,gmain,170645426,338093265

582,gmain,170777138,338224977,0,swapper/0,0,0

0,swapper/2,0,0,867,in:imklog,637103319,1323583592

0,swapper/0,0,0,199,systemd-journal,2239279162,6056435917

